timestamp,elapsed_time,slam_mode,num_points,density_3d,density_2d,coverage_2d,volume,bbox_x,bbox_y,bbox_z,z_range_min,z_range_max
6.9,6.9,icp,4327,190.58451410737314,412.0976335660433,10.499939,22.703838,3.206623077392578,3.27445387840271,2.162282943725586,-0.18482592701911926,1.9774569272994995
9.1,9.1,icp,4901,204.482793641234,442.1496570311665,11.084482,23.967787,3.3851404190063477,3.2744526863098145,2.162282943725586,-0.18482592701911926,1.9774569272994995
10.0,10.0,icp,5506,210.38154322714254,454.90441826507447,12.1036415,26.171497,3.6963677406311035,3.2744688987731934,2.162282943725586,-0.18482592701911926,1.9774569272994995
11.3,11.3,icp,5903,215.8929193821817,466.82157598238706,12.645088,27.342258,3.8680601119995117,3.2691032886505127,2.162282943725586,-0.18482592701911926,1.9774569272994995
12.4,12.4,icp,9105,175.49092025600802,381.92572196091874,23.839714,51.883026,4.188981533050537,5.691052436828613,2.1763274669647217,-0.18482592701911926,1.9915015697479248
13.6,13.6,icp,10317,174.88306369167853,380.6028181786582,27.106998,58.993706,4.572744846343994,5.927948951721191,2.1763274669647217,-0.18482592701911926,1.9915015697479248
14.7,14.7,icp,11130,178.74318478147467,389.0036980955681,28.611553,62.26811,4.826551914215088,5.927948951721191,2.1763274669647217,-0.18482592701911926,1.9915015697479248
15.6,15.6,icp,12687,193.73687810521423,421.6349054912029,30.090014,65.485725,5.07595682144165,5.927948951721191,2.1763274669647217,-0.18482592701911926,1.9915015697479248
16.6,16.6,icp,14865,214.3831305477033,469.14619995689907,31.685219,69.33848,5.355133056640625,5.9167938232421875,2.188354015350342,-0.1953439712524414,1.9930099248886108
17.6,17.6,icp,16205,221.50351163940016,484.7280860762371,33.431114,73.15911,5.65020751953125,5.9167938232421875,2.188354015350342,-0.1953439712524414,1.9930099248886108
19.0,19.0,icp,17072,221.0353591588084,484.06940849789424,35.26767,77.23651,5.9480414390563965,5.929291248321533,2.1900088787078857,-0.19699902832508087,1.9930099248886108
19.8,19.8,icp,18265,221.39991795173802,484.78653663048834,37.676376,82.49777,6.3542799949646,5.929291248321533,2.1896419525146484,-0.19663213193416595,1.9930099248886108
20.9,20.9,icp,19706,228.2507651940371,499.7740643886733,39.429817,86.33487,6.675861835479736,5.9063262939453125,2.1895833015441895,-0.19657346606254578,1.9930099248886108
21.8,21.8,icp,20807,229.5040212631706,502.51816997944115,41.405468,90.66072,7.010359287261963,5.9063262939453125,2.1895833015441895,-0.19657346606254578,1.9930099248886108
22.9,22.9,icp,22303,233.56630443753787,511.4128607799377,43.610558,95.488945,7.383702754974365,5.9063262939453125,2.1895833015441895,-0.19657346606254578,1.9930099248886108
23.9,23.9,icp,23752,237.34006468027283,519.6758549084415,45.705414,100.07581,7.738382816314697,5.9063262939453125,2.1895833015441895,-0.19657346606254578,1.9930099248886108
