timestamp,elapsed_time,slam_mode,num_points,density_3d,density_2d,coverage_2d,volume,bbox_x,bbox_y,bbox_z,z_range_min,z_range_max
7.8,7.8,rgbd,457,32.71514213768946,65.30554608784128,6.9978743,13.969067,2.1630635261535645,3.235168218612671,1.9961870908737183,0.0015252809971570969,1.9977123737335205
9.8,9.8,rgbd,685,44.05310258167807,87.73169980234324,7.807896,15.549416,2.4086949825286865,3.241546154022217,1.9914988279342651,-0.002041894942522049,1.9894568920135498
11.8,11.8,rgbd,738,34.90047582143058,69.50425877440095,10.618054,21.145844,3.275614023208618,3.241546154022217,1.9914988279342651,-0.002041894942522049,1.9894568920135498
13.9,13.9,rgbd,1175,34.09809410177381,70.66493624837085,16.627766,34.459404,4.226260185241699,3.934392213821411,2.072401285171509,-0.0829443708062172,1.9894568920135498
16.0,16.0,rgbd,1265,36.70986301169691,76.07756966313968,16.627766,34.459404,4.226260185241699,3.934392213821411,2.072401285171509,-0.0829443708062172,1.9894568920135498
18.0,18.0,rgbd,1299,36.859328739804624,76.38732184893516,17.00544,35.242096,4.322253227233887,3.934392213821411,2.072401285171509,-0.0829443708062172,1.9894568920135498
20.0,20.0,rgbd,1429,36.29235532396026,75.21232329247562,18.999546,39.374683,4.829092979431152,3.934392213821411,2.072401285171509,-0.0829443708062172,1.9894568920135498
22.1,22.1,rgbd,1535,30.914043524009006,64.06630436980454,23.959553,49.65381,6.0897722244262695,3.934392213821411,2.072401285171509,-0.0829443708062172,1.9894568920135498
24.1,24.1,rgbd,1612,28.896635150277145,59.885423049013376,26.91807,55.78504,6.611361026763916,4.071486949920654,2.072401285171509,-0.0829443708062172,1.9894568920135498
26.1,26.1,rgbd,1718,23.35731137567595,48.40572106687401,35.491673,73.552986,7.616293907165527,4.659966468811035,2.072401285171509,-0.0829443708062172,1.9894568920135498
28.1,28.1,rgbd,1779,21.859474205488937,45.301602517089336,39.270134,81.38348,8.427127838134766,4.659966468811035,2.072401285171509,-0.0829443708062172,1.9894568920135498
30.1,30.1,rgbd,1843,21.697504612272688,44.96593774646592,40.98658,84.94064,8.427127838134766,4.8636474609375,2.072401285171509,-0.0829443708062172,1.9894568920135498
32.1,32.1,rgbd,1975,18.402850990531533,38.138091971297484,51.785496,107.32033,10.11686897277832,5.118727684020996,2.072401285171509,-0.0829443708062172,1.9894568920135498
34.1,34.1,rgbd,2061,16.647279019722394,34.49984272358059,59.739403,123.804016,10.208002090454102,5.852212905883789,2.072401285171509,-0.0829443708062172,1.9894568920135498
36.2,36.2,rgbd,2209,16.33561986913136,33.94775359303528,65.07058,135.22597,10.21429443359375,6.370541095733643,2.0781428813934326,-0.10771139711141586,1.9704314470291138
38.3,38.3,rgbd,2373,13.767872205558959,31.47117665307381,75.40233,172.35779,10.228353500366211,7.371892929077148,2.285841703414917,-0.09719373285770416,2.188647985458374
